Listing_ID,Host_Name,Property_Type,Location,Bedrooms,Bathrooms,Accommodates,Review_Score,Number_of_Reviews,Superhost,Host_Experience,Cleaning_Fee,Minimum_Nights,Amenities_Score,Instant_Bookable,Nightly_Price
997649,Ava Scott,Studio,Outer Suburb,1,2,2,4.5,68,No,6,52.0,5,6.0,Yes,165.42
990090,Isla Martin,Apartment,CBD,2,2,4,4.72,22,No,0,48.0,2,6.0,Yes,382.85
995427,Priya Walker,Apartment,CBD,2,2,3,4.5,47,Yes,1,32.0,2,6.0,No,276.28
996669,Ava Thomas,Townhouse,Inner Suburb,3,3,6,4.55,68,Yes,4,76.0,2,6.0,No,318.71
990808,Sophie Singh,Townhouse,CBD,2,2,4,4.58,85,Yes,15,42.0,1,4.0,Yes,357.58
991604,Sophie Ali,House,CBD,4,3,8,4.76,78,No,1,103.0,3,9.0,No,484.77
995199,Mei Brown,Studio,Outer Suburb,1,1,4,4.42,45,No,0,41.0,2,4.0,No,77.51
993313,Wei Nguyen,Villa,Outer Suburb,4,3,8,4.6,21,No,4,81.0,4,8.0,No,414.66
990274,Olivia Anderson,Studio,Outer Suburb,1,2,1,4.52,55,No,6,58.0,3,4.0,Yes,198.84
990492,Samuel Nguyen,House,Outer Suburb,3,2,5,4.73,42,Yes,0,82.0,2,7.0,No,303.17
995562,Mia Taylor,House,Regional,3,2,5,4.85,60,No,5,80.0,4,6.0,No,343.06
991552,Liam Thomas,Townhouse,Regional,2,2,6,4.74,67,Yes,15,79.0,1,6.0,Yes,376.9
996954,Oliver Clark,Apartment,Outer Suburb,2,2,4,4.84,26,Yes,1,65.0,1,7.0,Yes,213.17
995334,Samuel King,Apartment,Outer Suburb,3,2,6,4.71,70,Yes,13,85.0,3,9.0,Yes,334.77
991905,Sarah Thomas,House,Regional,3,2,6,4.56,30,No,3,73.0,7,7.0,No,292.34
993827,Olivia Le,House,Inner Suburb,3,2,7,4.2,172,No,4,54.0,2,6.0,No,314.66
996253,Ava Brown,Apartment,CBD,2,2,6,4.71,40,Yes,5,74.0,1,7.0,Yes,330.17
992433,Mei Harris,Apartment,Inner Suburb,1,2,2,4.87,32,No,13,57.0,1,7.0,Yes,191.29
995636,Chloe Anderson,Apartment,Inner Suburb,2,2,5,4.67,42,Yes,0,72.0,1,7.0,Yes,195.62
995740,Lily Walker,Apartment,Regional,1,2,1,4.77,35,No,1,65.0,1,8.0,Yes,141.03
991445,Lily Brown,Apartment,Inner Suburb,2,2,5,4.47,72,No,0,57.0,2,5.0,No,267.56
997566,Henry Smith,Apartment,Regional,3,2,5,5.0,6,No,0,84.0,1,7.0,Yes,301.16
995718,Lily Taylor,Apartment,Regional,2,1,5,4.55,30,No,6,47.0,1,5.0,Yes,224.47
995840,James Clark,Townhouse,CBD,4,3,8,4.21,62,No,2,79.0,2,5.0,No,388.18
992152,Michael White,Townhouse,Inner Suburb,3,2,6,4.52,102,No,4,54.0,1,2.0,Yes,396.11
995880,David Nguyen,House,Inner Suburb,4,3,8,4.71,31,Yes,2,93.0,1,4.0,Yes,299.59
990206,Grace Singh,Townhouse,Regional,4,2,9,4.34,50,Yes,15,91.0,1,6.0,Yes,339.02
997354,Anna Le,Apartment,Inner Suburb,1,2,1,4.56,32,No,0,69.0,2,6.0,Yes,216.89
992542,Grace King,Apartment,Outer Suburb,2,2,6,4.43,70,No,10,65.0,2,6.0,Yes,395.38
996339,Isla Wang,Apartment,Outer Suburb,2,1,4,3.99,99,No,3,58.0,2,5.0,No,264.86
992471,Ben Tran,House,Inner Suburb,2,2,6,5.0,20,No,5,75.0,3,6.0,Yes,403.83
